workflow,phase,manual_interaction_group,count_basis,n_units,unit_time_s,subtotal_s,subtotal_min,subtotal_h,note
model_preparation,M1,Component registration and object creation,"Derived from approximately 510 active components, including buses, lines, transformers, and PV stations.",510,13,6630,110.5,1.84,Includes locating component categories and creating corresponding model objects.
model_preparation,M2,Parameter transcription and field completion,Estimated from repeated electrical-parameter entries across component types.,1800,14,25200,420,7,"Includes entry of voltage levels, ratings, impedance-related fields, and generation/load parameters."
model_preparation,M3,Topology connection and object association,"Estimated from connection operations among buses, lines, transformers, and generation units.",900,14.5,13050,217.5,3.63,Includes topology association and connectivity-related manual operations.
model_preparation,M4,Consistency checking and visual context switching,Estimated from repeated diagram/table switching and engineering verification during model preparation.,790,14.73,11640,194,3.23,"Includes visual checking, selected component verification, and context switching."
model_preparation,M_total,Total manual lower-bound estimate,Sum of M1--M4.,4000,,56520,942,15.7,This is the conservative lower-bound estimate reported in Section VI.
n1_workflow,N1,Model and scenario activation,Representative manual activation of the target model and operating scenario.,1,13,13,0.22,0.004,Includes opening or activating the target model and scenario.
n1_workflow,N2,Target context localization,"Manual search for the target component, contingency task, or analysis context in diagrams and tables.",1,33,33,0.55,0.009,Includes visual search and context identification.
n1_workflow,N3,Contingency-analysis configuration,Manual configuration of contingency-analysis settings and contingency set.,1,33,33,0.55,0.009,Includes selecting or confirming the contingency-analysis setup.
n1_workflow,N4,Report opening and navigation,Manual execution trigger and report-interface navigation.,1,18,18,0.3,0.005,Includes opening the result interface and navigating to the relevant report.
n1_workflow,N5,Violation inspection and engineering confirmation,Manual inspection of violation tables and confirmation of reported security state.,1,85,85,1.42,0.024,Includes identifying overloaded elements and checking the engineering meaning of the report.
n1_workflow,N_total,Total manual lower-bound estimate,Sum of N1--N5.,5,,182,3.03,0.051,This is the conservative lower-bound estimate reported in Section VI.
